currency,asset,exchange,strategy,profit,profit daily,yearly profit,market change,profit-market,trade amount,trades daily,wining trades,losses trades,candle size,warmup period,backtest start,dataset from,dataset to,strategy config,,,,,,,,,,,
BTC,DGB,poloniex,aroon_public,-30%,-15.00%,-181%,72%,-102,66,33,NA,NA,10,73,2018-02-26 23:57:50,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,DGB,poloniex,aroon_public,-5%,-2.50%,-29%,72%,-77,141,70.5,NA,NA,5,144,2018-03- 1 01:44:37,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,GAME,poloniex,aroon_public,77%,38.50%,455%,53%,24,77,38.5,NA,NA,10,73,2018-02-27 01:06:33,2017-12-20 00:00:00,2018-02-19 23:57:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
ETH,ICN,kraken,aroon_public,-6%,-3.00%,-36%,-26%,20,72,36,NA,NA,10,73,2018-02-27 00:38:08,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
EUR,XMR,kraken,aroon_public,10%,5.00%,63%,-18%,28,73,36.5,NA,NA,10,73,2018-02-27 00:52:47,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USD,DAT,bitfinex,aroon_public,-15%,-7.50%,-89%,-50%,35,68,34,NA,NA,10,73,2018-02-26 23:44:23,2017-12-19 23:17:00,2018-02-19 23:56:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USD,RRT,bitfinex,aroon_public,-39%,-19.50%,-234%,-69%,30,55,27.5,NA,NA,10,73,2018-02-26 23:44:24,2017-12-19 19:20:00,2018-02-19 23:24:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USD,ETP,bitfinex,aroon_public,-46%,-23.00%,-271%,-50%,4,62,31,NA,NA,10,73,2018-02-26 23:44:23,2017-12-19 22:55:00,2018-02-19 23:43:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USD,ETP,bitfinex,aroon_public,10%,5.00%,62%,-50%,60,142,71,NA,NA,5,144,2018-03- 1 01:44:39,2017-12-19 22:55:00,2018-02-19 23:43:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USD,DAT,bitfinex,aroon_public,2%,1.00%,16%,-50%,52,142,71,NA,NA,5,144,2018-03- 1 01:44:45,2017-12-19 23:17:00,2018-02-19 23:56:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USD,RRT,bitfinex,aroon_public,5%,2.50%,29%,-69%,74,140,70,NA,NA,5,144,2018-03- 1 01:44:41,2017-12-19 19:20:00,2018-02-19 23:24:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,XRP,binance,aroon_public,-2%,-1.00%,-16%,133%,-135,61,30.5,NA,NA,10,73,2018-02-26 23:57:35,2017-12-20 00:00:00,2018-02-19 23:59:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,ZEC,binance,aroon_public,-28%,-14.00%,-168%,24%,-52,58,29,NA,NA,10,73,2018-02-27 00:39:14,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BNB,XLM,binance,aroon_public,-29%,-14.50%,-174%,-8%,-21,59,29.5,NA,NA,10,73,2018-02-27 01:06:47,2017-12-20 00:02:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,XRP,binance,aroon_public,-30%,-15.00%,-179%,133%,-163,129,64.5,NA,NA,5,144,2018-03- 1 01:44:38,2017-12-20 00:00:00,2018-02-19 23:59:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,ADA,binance,aroon_public,-36%,-18.00%,-212%,11%,-47,60,30,NA,NA,10,73,2018-02-27 00:52:05,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USDT,LTC,binance,aroon_public,0%,0.00%,3%,-34%,34,74,37,NA,NA,10,73,2018-02-27 00:24:58,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
ETH,EOS,binance,aroon_public,10%,5.00%,59%,-29%,39,70,35,NA,NA,10,73,2018-02-27 00:11:19,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,ICX,binance,aroon_public,107%,53.50%,631%,243%,-136,69,34.5,NA,NA,10,73,2018-02-27 00:38:37,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
ETH,EOS,binance,aroon_public,11%,5.50%,69%,-29%,40,153,76.5,NA,NA,5,144,2018-03- 2 12:15:53,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BNB,GTO,binance,aroon_public,257%,128.50%,1516%,-17%,274,79,39.5,NA,NA,10,73,2018-02-27 01:05:33,2017-12-20 00:01:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,OMG,binance,aroon_public,26%,13.00%,156%,50%,-24,76,38,NA,NA,10,73,2018-02-27 00:25:23,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,BNB,binance,aroon_public,26%,13.00%,155%,200%,-174,143,71.5,NA,NA,5,144,2018-03- 1 01:44:38,2017-12-20 00:00:00,2018-02-19 23:59:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
USDT,BTC,binance,aroon_public,28%,14.00%,166%,-35%,63,71,35.5,NA,NA,10,73,2018-02-27 00:25:29,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,ETC,binance,aroon_public,30%,15.00%,178%,59%,-29,70,35,NA,NA,10,73,2018-02-27 00:11:26,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,BNB,binance,aroon_public,32%,16.00%,193%,200%,-168,60,30,NA,NA,10,73,2018-02-26 23:57:48,2017-12-20 00:00:00,2018-02-19 23:59:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BNB,ADX,binance,aroon_public,38%,19.00%,229%,-46%,84,73,36.5,NA,NA,10,73,2018-02-27 01:18:31,2017-12-20 00:03:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
BTC,ETC,binance,aroon_public,40%,20.00%,238%,59%,-19,142,71,NA,NA,5,144,2018-03- 2 16:24:38,2017-12-20 00:00:00,2018-02-19 23:58:00," interval: 14, parameters: { optInTimePeriod: 46}, thresholds: {  beardown: 99, bearup: 30, bulldown: 35, bullup: 99 } ",,,,,,,,,,,
